offeringFamily,majorOffering,subOffering
IS&S Insurance,Multi-Line and Multi-National,Classical Multi-Line and Multi-National
IS&S Insurance,Multi-Line and Multi-National,GraphTalk A.I.A.
IS&S Insurance,Multi-Line and Multi-National,GraphTalk A.I.A.
IS&S Insurance,Multi-Line and Multi-National,Integral
IS&S Insurance,Multi-Line and Multi-National,Integral
IS&S Insurance,Multi-Line and Multi-National,Integral
IS&S Insurance,Multi-Line and Multi-National,Integral
IS&S Insurance,Multi-Line and Multi-National,Multi-Line and Multi-National
IS&S Insurance,Multi-Line and Multi-National,Multi-Line and Multi-National
IS&S Insurance,Multi-Line and Multi-National,Product Accelerator & VPMS
IS&S Insurance,Multi-Line and Multi-National,Product Accelerator & VPMS
IS&S Insurance,Multi-Line and Multi-National,ProductXpress
IS&S Insurance,Multi-Line and Multi-National,ProductXpress
IS&S Insurance,Property and Casualty,DXC Business Process Services: Property and Casualty
IS&S Insurance,Property and Casualty,DXC Business Process Services: Property and Casualty
IS&S Insurance,Property and Casualty,Exceed
IS&S Insurance,Property and Casualty,Exceed
IS&S Insurance,Property and Casualty,Exceed
IS&S Insurance,Property and Casualty,Exceed
IS&S Insurance,Property and Casualty,General Insurance Administration
IS&S Insurance,Property and Casualty,General Insurance Administration
IS&S Insurance,Property and Casualty,General Insurance Administration
IS&S Insurance,Property and Casualty,General Insurance Administration
IS&S Insurance,Property and Casualty,POINT IN Classic
IS&S Insurance,Property and Casualty,POINT IN Classic
IS&S Insurance,Property and Casualty,Premium Billing 360 (Exceed)
IS&S Insurance,Property and Casualty,Premium Billing 360 (Exceed)
IS&S Insurance,Property and Casualty,Property and Casualty
IS&S Insurance,Property and Casualty,Property and Casualty
IS&S Insurance,Reinsurance,Reinsurance
IS&S Insurance,Reinsurance,Reinsurance
IS&S Insurance,Reinsurance,SICS
IS&S Insurance,Reinsurance,SICS
IS&S Insurance,Reinsurance,SICS
IS&S Insurance,Reinsurance,SICS
"IS&S Travel, Transportation, Hospitality",Airline - Consumer Travel,Airline - Consumer Travel
"IS&S Travel, Transportation, Hospitality",Airline - Consumer Travel,Airline Passenger Services
"IS&S Travel, Transportation, Hospitality",Airline - Consumer Travel,Flight Operations Solution
"IS&S Travel, Transportation, Hospitality",Airline - Consumer Travel,Passenger Service Solutions
"IS&S Travel, Transportation, Hospitality",Airline - Operations,Airline - Operations
"IS&S Travel, Transportation, Hospitality","Freight, Logistics, and Rail","Freight, Logistics, and Rail"
"IS&S Travel, Transportation, Hospitality",Travel and Transportation Advisory,Travel and Transportation Advisory
Security,Cloud Security,Cloud Security
Security,Cloud Security,Cloud Security Advisory Services
Security,Cloud Security,Managed Cloud Access Security Broker
Security,Data Protection and Privacy,Data Governance and Privacy
Security,Data Protection and Privacy,Data Loss Prevention
Security,Data Protection and Privacy,Data Protection and Privacy
Security,Data Protection and Privacy,Data Protection and Privacy Advisory Services
Security,Data Protection and Privacy,Data-centric Encryption
Security,Identity and Access Management,Access Management
Security,Identity and Access Management,Assured Identity - Identity As a Service
Security,Identity and Access Management,Assured Identity Adaptive Authentication for U.S. Public Sector
Security,Identity and Access Management,Cyber Identity and Access Management
Security,Identity and Access Management,Identity Governance and Administration
Security,Identity and Access Management,Identity Governance and Administration Service
Security,Identity and Access Management,Identity Management as a Service
Security,Identity and Access Management,Identity and Access Management
Security,Identity and Access Management,Identity and Access Management Advisory Services
Security,Identity and Access Management,Multifactor Authentication
Security,Identity and Access Management,Privileged Account Management
Security,Identity and Access Management,Security Access Services
Security,Identity and Access Management,User Provisioning
Security,Infrastructure and Endpoint Security,Cloud Access Security Broker
Security,Infrastructure and Endpoint Security,Cyber Endpoint Security Services
Security,Infrastructure and Endpoint Security,Cyber Network Security Services
Security,Infrastructure and Endpoint Security,Endpoint Security
Security,Infrastructure and Endpoint Security,Infrastructure and Endpoint Security
Security,Infrastructure and Endpoint Security,Infrastructure and Endpoint Security Advisory Services
Security,Infrastructure and Endpoint Security,Infrastructure and Network Security
Security,Infrastructure and Endpoint Security,Managed Advanced Threat Protection
Security,Infrastructure and Endpoint Security,Managed Endpoint Protection
Security,Infrastructure and Endpoint Security,Managed Endpoint Threat Detection and Response
Security,Infrastructure and Endpoint Security,Managed Firewall Service
Security,Intelligent Security Operations,Cyber Risk Management Centers
Security,Intelligent Security Operations,Intelligent Security Operations
Security,Intelligent Security Operations,Intelligent Security Operations Advisory Services
Security,Intelligent Security Operations,Managed SIEM
Security,Intelligent Security Operations,Security Incident Response
Security,Intelligent Security Operations,Security Monitoring
Security,Security Advisory Services,"Advanced Compromise Assessment from HPE and Mandiant, a FireEye Company"
Security,Security Advisory Services,Business Continuity - Disaster Recovery
Security,Security Advisory Services,Cyber Consulting Services
Security,Security Advisory Services,Security Advisory Services
Security,Security Risk Management,Cyber Assurance
Security,Security Risk Management,Cyber Maturity Review
Security,Security Risk Management,PhishED
Security,Security Risk Management,Risk and Compliance Management
Security,Security Risk Management,Security Awareness and Training
Security,Security Risk Management,Security Risk Management
Security,Security Risk Management,Security Risk Management Advisory Services
Security,Security Risk Management,Security Strategy and Architecture
Security,Security Risk Management,Security Testing and Certification Laboratories
Security,Threat and Vulnerability Management,Cyber Application Security Services
Security,Threat and Vulnerability Management,Threat and Vulnerability Management
Security,Threat and Vulnerability Management,Threat and Vulnerability Management Advisory Services
Security,Threat and Vulnerability Management,Vulnerability Intelligence Service
Security,Threat and Vulnerability Management,Vulnerability Scanning
Workplace and Mobility,Campus and Connectivity Networks,Campus and Connectivity Networks
Workplace and Mobility,Campus and Connectivity Networks,Campus and Connectivity Networks
Workplace and Mobility,Campus and Connectivity Networks,Network Services
Workplace and Mobility,Campus and Connectivity Networks,Workplace and Mobility Advisory Services
Workplace and Mobility,Campus and Connectivity Networks,Workplace and Mobility Advisory Services
Workplace and Mobility,Enterprise Mobility Services,CSC MyWorkStyle Editions
Workplace and Mobility,Enterprise Mobility Services,Enterprise Mobility Services
Workplace and Mobility,Enterprise Mobility Services,Mobile & IoT Cloud Services
Workplace and Mobility,Enterprise Mobility Services,Mobile Enterprise Services
Workplace and Mobility,Enterprise Mobility Services,Mobile Solutions & Services
Workplace and Mobility,Enterprise Mobility Services,Next Gen Mobile Messaging Service for Blackberry
Workplace and Mobility,Network Services,Campus and Connectivity Networks
Workplace and Mobility,Network Services,Network Services
Workplace and Mobility,Network Services,Workplace and Mobility Advisory Services
Workplace and Mobility,Productivity Applications,Collaboration Services
Workplace and Mobility,Productivity Applications,DXC Collaboration Services
Workplace and Mobility,Productivity Applications,DXC File Sync and Share Services
Workplace and Mobility,Productivity Applications,DXC Messaging Services
Workplace and Mobility,Productivity Applications,DXC Services for Office 365
Workplace and Mobility,Productivity Applications,Enterprise Services for Google Apps for Work
Workplace and Mobility,Productivity Applications,Enterprise Services for Google G Suite
Workplace and Mobility,Productivity Applications,File Sync and Share Services
Workplace and Mobility,Productivity Applications,Messaging Services
Workplace and Mobility,Productivity Applications,Productivity Applications
Workplace and Mobility,Productivity Applications,XChanging Workplace
Workplace and Mobility,Software Licensing and Management Solutions,Software Licensing and Management Solutions
Workplace and Mobility,Support Services,Support Services
Workplace and Mobility,Unified Communications Services,Unified Communications Services
Workplace and Mobility,Virtual Desktop Services,Virtual Desktop Services
Workplace and Mobility,Virtual Desktop Services,Virtual Desktop and Applications Services
Workplace and Mobility,Workplace Device Services,Asset Management Services
Workplace and Mobility,Workplace Device Services,Workplace Device Services
Workplace and Mobility,Workplace Device Services,Workplace Management Services
Workplace and Mobility,Workplace and Mobility Advisory Services,Campus and Connectivity Networks
Workplace and Mobility,Workplace and Mobility Advisory Services,Campus and Connectivity Networks
Workplace and Mobility,Workplace and Mobility Advisory Services,Network Services
Workplace and Mobility,Workplace and Mobility Advisory Services,Workplace and Mobility Advisory Services
Workplace and Mobility,Workplace and Mobility Advisory Services,Workplace and Mobility Advisory Services
