ID,Business (DM),Website,Account Industry Vertical,P&L Region
3595,Agenzia Per La Coesione Territoriale (DTO),http://www.agenziacoesione.gov.it/it,,Southern Europe
3077,AgGateway,http://www.aggateway.org/,,Americas
471,Agilent Technologies,http://www.agilent.com/,CME & Tech,Americas
3059,Agiplan Financeira,https://www.agibank.com.br/,Banking & Capital Markets,Americas
3176,agriMORE,http://agrimore.eu/,Consumer Industries & Retail,Northern and Central Europe
5299,Agrium Inc,https://www.nutrien.com/,Manufacturing,Americas
1981,Agusta Westland Helicopters,http://www.agustawestland.com/,,UKIIMEA
181,Ahold AMS,https://www.ahold.com/,Consumer Industries & Retail,Americas
32,Ahold EMEA,http://www.ahold.com/,Consumer Industries & Retail,Northern and Central Europe
2440,AIA Financial,https://www.aia-financial.co.id/,Insurance,Asia
2589,AIA Group,http://www.aia.com/,,Asia
3533,Aimag,http://www.aimag.it/,,Southern Europe
5419,Aimia (AMS),http://www.aimia.com/,Travel & Transportation,Americas
2505,Aimia (UK&I),http://www.aimia.com/,Consumer Industries & Retail,UKIIMEA
3977,Aimia Proprietary Loyalty Australia,https://www.aimia.com/,,ANZ
1778,Air Canada,https://www.aircanada.com/ca/en/aco/home.html,Travel & Transportation,Americas
2331,Air Force Israel,http://www.iaf.org.il/,Public Sector,UKIIMEA
4561,Air France,https://www.airfrance.com/indexCOM.html,Travel & Transportation,Southern Europe
120,Air Services,http://www.airservicesusa.com/,Consumer Industries & Retail,Americas
14,Airbus (Commercial),http://www.eads.com/,Manufacturing,Southern Europe
1825,Airbus (Defense & Space Germany),http://www.defenceandsecurity-airbusds.com/,Manufacturing,Northern and Central Europe
1826,Airbus (Defense & Space Spain),http://militaryaircraft-airbusds.com/,Manufacturing,Southern Europe
5285,Airbus Engineering Centre,https://www.airbus.com,Consumer Industries & Retail,Asia
354,Airgas,http://www.airgas.com/,Energy,Americas
1831,Airport Authority Hong Kong,http://www.hongkongairport.com/,Travel & Transportation,Asia
625,Airtel,http://www.airtel.com/,CME & Tech,Asia
4858,AJM Packaging,http://www.ajmpack.com/,,Americas
4456,Ajuntament de Barcelona,https://www.barcelona.cat/ca/,Public Sector,Southern Europe
2904,Aker BP ASA,https://www.akerbp.com/,Manufacturing,Northern and Central Europe
5070,Akera Claims Solutions,https://akeraclaims.com/,Insurance,Americas
4386,Akzo Nobel Sourcing US,https://www.akzonobel.com/en/about-us/what-we-do/sustainability/our-approach/our-report/further-performance-data/sourcing,Manufacturing,Americas
124,AkzoNobel,http://www.akzonobel.com/,Manufacturing,Northern and Central Europe
5056,Al Dahra Holding,https://www.aldahra.com/,Banking & Capital Markets,UKIIMEA
5052,Al Hammadi Hospital,http://alhammadi.med.sa/Default.aspx?lang=en,Healthcare & Life Sciences,UKIIMEA
4942,Al Hassan Ghazi Ibrahim Shaker Company,https://www.shaker.com.sa/,CME & Tech,UKIIMEA
5062,Alabama Municipal Insurance Corp,http://www.amicentral.org/,Insurance,Americas
3666,Albemarle,https://www.albemarle.com,,Americas
3716,Albemarle (Rockwood Lithium),https://www.albemarle.de/,Manufacturing,Northern and Central Europe
2578,Alberta Advanced Education and Technology,http://advancededucation.alberta.ca/,,Americas
3001,Alberta Environment and Parks,http://aep.alberta.ca/,,Americas
4501,Alcanna,https://www.alcanna.com/,Consumer Industries & Retail,Americas
2813,Alcatel Lucent Shanghai Bell,http://www.nokia-sbell.com/,CME & Tech,Asia
5,Alcatel-Lucent,http://www.alcatel-lucent.com/,CME & Tech,Northern and Central Europe
4082,Alfa Mutual Insurance Company,https://www.alfainsurance.com/,,Americas
5388,Aliaxis Group S.A. / N.V.,https://aliaxis.com/,Manufacturing,Southern Europe
3748,Alibaba Cloud Computing,https://us.alibabacloud.com/,,Asia
3231,Alight Solutions,https://alight.com/,Insurance,Americas
4417,Alinma Bank,http://www.alinma.com/wps/portal/alinma/,Banking & Capital Markets,UKIIMEA
390,All Nippon Airways,http://www.anaskyweb.com/,Travel & Transportation,Asia
587,Allahabad U.P. Gramin Bank,http://www.allahabadgraminbank.in/,Banking & Capital Markets,Asia
2670,Allegis Group,https://www.allegisgroup.com/en-gb,Consumer Industries & Retail,Americas
2812,Allergan,https://www.allergan.com/,,Americas
3625,Alleroed Kommune,https://www.alleroed.dk/,,Northern and Central Europe
4569,Alliade Zorggroep,https://www.alliade.nl/over-alliade,Healthcare & Life Sciences,Northern and Central Europe
2868,Alliance Benefit Group,http://www.abgnational.com/,Insurance,Americas
3672,Alliance Boots,https://www.walgreensbootsalliance.com/index.cfm,Consumer Industries & Retail,UKIIMEA
4083,Alliant Credit Union,https://www.alliantcreditunion.org/,,Americas
426,Alliant Energy,http://www.alliantenergy.com/,,Americas
277,Allianz,https://www.allianz.de/,Insurance,Northern and Central Europe
3134,Allianz (Australia),https://www.allianz.com.au/,Insurance,ANZ
4084,Allianz Life Insurance Company of North America,https://www.allianzlife.com/,,Americas
5300,Allianz Re Argentina S.A.,https://www.allianz.com.ar,Insurance,Americas
3816,Allianz Technology,https://www.allianz-partners.com/,CME & Tech,Northern and Central Europe
4691,Allied Motion Technologies,https://www.alliedmotion.com/,Manufacturing,Americas
185,Allison Transmission,http://www.allisontransmission.com/,Manufacturing,Americas
2174,Allnex,http://www.allnex.com/,,Northern and Central Europe
499,Allstate Insurance,http://www.allstate.com/,,Americas
223,Allstream,http://www.allstream.com/,CME & Tech,Americas
121,Ally Financial,http://www.ally.com/,Banking & Capital Markets,Americas
2579,Almendral,http://almendral.cl/,CME & Tech,Americas
3307,Almirall,https://www.almirall.com/en/,Healthcare & Life Sciences,Southern Europe
2167,Alpina,http://www.alpina.com.co/,,Americas
4451,Alpiq,https://www.alpiq.com/,Energy,Northern and Central Europe
3398,Alsa,https://www.alsa.com/en/web/bus/home,Travel & Transportation,Southern Europe
5301,Alsco Inc,https://alsco.com,Consumer Industries & Retail,Americas
2177,Alstom,http://www.alstom.com/,Manufacturing,Southern Europe
