AccountName,Region,SubIndustry,Industry,IAName,ClientIdea,BusinessTrend,TechnologyTrend,DigitalValueChain,ClientGoal,ClientKPI
MLP AG,Northern and Central Europe,Banking,Banking & Capital Markets,MLP Innovation Agenda FY18/19,Data Science pilots,Advanced analysis of customer-related data,null,Customer Experience,null,null
MLP AG,Northern and Central Europe,Banking,Banking & Capital Markets,MLP Innovation Agenda FY18/19,Unstructured data eDiscovery,Legal and eDiscovery across all enterprise data,null,Internal Operations,null,null
MLP AG,Northern and Central Europe,Banking,Banking & Capital Markets,MLP Innovation Agenda FY18/19,Open Data Access,Open APIs,null,Internal Operations,null,null
MLP AG,Northern and Central Europe,Banking,Banking & Capital Markets,MLP Innovation Agenda FY18/19,PFM extension,Personal Finance Management ,null,Customer Experience,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Help the DWP execute its digital strategy ,Channel shift,null,Customer Experience,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Help the DWP execute its digital strategy ,Robotic Process Automation,null,Technology Systems,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Help the DWP execute its digital strategy ,Hybrid cloud hosting,null,Technology Systems,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Help the DWP execute its digital strategy ,Robotic advisor,null,Customer Experience,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Help the DWP execute its digital strategy ,Digital first,null,Customer Experience,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Exchange as a Service,Hybrid cloud hosting,null,Technology Systems,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Internet Facing to Cloud,Hybrid cloud hosting,null,Technology Systems,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,PIPCS to AWS,Hybrid cloud hosting,null,Technology Systems,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Modernisation of Directory Services,Hybrid cloud hosting,null,Technology Systems,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Citrix as a Service,Hybrid cloud hosting,null,Technology Systems,null,null
Nissan,Americas,Automotive,Manufacturing,Nissan 2018,Strategic Innovation,Robotic Process Automation,null,Manufacture,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Automated Application Deployment,Hybrid cloud hosting,null,Technology Systems,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Help the DWP in executing existing major projects (UC) and Brexit,Digital first,null,Customer Experience,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Help the DWP in executing existing major projects (UC) and Brexit,Hybrid cloud hosting,null,Technology Systems,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Number of Incidents (reduce by 50%),Robotic Process Automation,null,Technology Systems,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Mobile online collaboration,Wi-Fi provision,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Mobile online collaboration,Self-service IT support ,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Mobile online collaboration,Employee app stores,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Employee app stores,Wi-Fi provision,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Employee app stores,Self-service IT support ,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Employee app stores,Employee app stores,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Integrated document lifecycle ecosystem,Wi-Fi provision,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Integrated document lifecycle ecosystem,Self-service IT support ,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Integrated document lifecycle ecosystem,Employee app stores,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,The Digital Workplace,Wi-Fi provision,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,The Digital Workplace,Self-service IT support ,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,The Digital Workplace,Employee app stores,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Virtual Reality ,Wi-Fi provision,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Virtual Reality ,Self-service IT support ,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Virtual Reality ,Employee app stores,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Collaboration platforms,Wi-Fi provision,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Collaboration platforms,Self-service IT support ,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Modern Workplace,Collaboration platforms,Employee app stores,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Mobility-enabled plant workforce,Digitised field workforce,Wi-Fi provision,Workforce Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Mobility-enabled plant workforce,Digitised field workforce,Augmented Reality,Workforce Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Mobility-enabled plant workforce,Digitised field workforce,Mobile scanning / image capture,Workforce Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Mobility-enabled plant workforce,Digitised field workforce,Mobile enabled employee,Workforce Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Mobility-enabled plant workforce,Digitised field workforce,Mobile ERP,Workforce Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Mobility-enabled plant workforce,Digitised field workforce,Mobility as a service ,Workforce Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Mobility-enabled plant workforce,Digitised field workforce,Use of mobile devices for field operations,Workforce Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Industrie 4.0 Smart Digital Plant,"Asset visibility and remote monitoring, optimization and virtualisation",Wi-Fi provision,Enrichment Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Industrie 4.0 Smart Digital Plant,Digitised manufacturing,Wi-Fi provision,Enrichment Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Industrie 4.0 Smart Digital Plant,IT & OT convergence - resilient security,Wi-Fi provision,"HSSE, Regulation & Compliance",null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Industrie 4.0 Smart Digital Plant,IoT data and analytics,Wi-Fi provision,Enrichment Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Industrie 4.0 Smart Digital Plant,Embracing Digitisation in products and services,Wi-Fi provision,Enrichment Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Industrie 4.0 Smart Digital Plant,Small form-factor IoT devices,Wi-Fi provision,Enrichment Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Industrie 4.0 Smart Digital Plant,Predictive Maintenance,Wi-Fi provision,Enrichment Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Industrie 4.0 Smart Digital Plant,Industry 4.0,Wi-Fi provision,Enrichment Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Industrie 4.0 Smart Digital Plant,New Build IoT,Wi-Fi provision,Enrichment Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Rationalised Enterprise Management Systems,Mobile online collaboration,Mobile ERP,Management  & Engineering,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Rationalised Enterprise Management Systems,Embracing Digitisation in products and services,Mobile ERP,Enrichment Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Rationalised Enterprise Management Systems,Digitised manufacturing,Mobile ERP,Enrichment Operations,null,null
URENCO Enrichment Co Ltd,"UK, Ireland, Israel, Middle East and Africa",Electric utilities,Energy,URENCO 2017-2018 (archive),Rationalised Enterprise Management Systems,Industry 4.0,Mobile ERP,Enrichment Operations,null,null
DWP,"UK, Ireland, Israel, Middle East and Africa",Social protection,Public Sector,DWP FY19,Machine learning to optimise fraud intervention,Risk analytics,null,Technology Systems,null,null
